effect,param,ui_value,payload_hex
compressor,threshold,-6.0000,cccc2602
compressor,threshold,-5.5000,11111502
compressor,threshold,-5.0000,5555f101
compressor,threshold,-4.5000,6666c601
compressor,threshold,-4.0000,44449801
compressor,threshold,-3.5000,bbbb6701
compressor,threshold,-3.0000,cccc3501
compressor,threshold,-2.5000,ffff0101
compressor,threshold,-2.0000,8888cd00
compressor,threshold,-1.5000,66669700
compressor,threshold,-1.0000,00006200
compressor,threshold,-0.5000,00003100
compressor,threshold,0.0000,00000000
compressor,ratio,1.5000,00
compressor,ratio,1.6000,09
compressor,ratio,1.7000,11
compressor,ratio,1.8000,1a
compressor,ratio,1.9000,22
compressor,ratio,2.0000,2b
compressor,ratio,2.1000,33
compressor,ratio,2.2000,3c
compressor,ratio,2.3000,44
compressor,ratio,2.4000,4d
compressor,ratio,2.5000,55
compressor,ratio,2.6000,5e
compressor,ratio,2.7000,66
compressor,ratio,2.8000,6e
compressor,ratio,2.9000,77
compressor,ratio,3.0000,80
compressor,ratio,3.1000,88
compressor,ratio,3.2000,91
compressor,ratio,3.3000,99
compressor,ratio,3.4000,a2
compressor,ratio,3.5000,aa
compressor,ratio,3.6000,b3
compressor,ratio,3.7000,bb
compressor,ratio,3.8000,c3
compressor,ratio,3.9000,cc
compressor,ratio,4.0000,d5
compressor,ratio,4.1000,dd
compressor,ratio,4.2000,e6
compressor,ratio,4.3000,ee
compressor,ratio,4.4000,f7
compressor,ratio,4.5000,ff
compressor,attack,0.1000,00401006
compressor,attack,0.2000,78c9f902
compressor,attack,0.3000,8597a601
compressor,attack,0.4000,bbb10b01
compressor,attack,0.5000,94c8af00
compressor,attack,0.6000,60a57600
compressor,attack,0.7000,c13c5800
compressor,attack,0.8000,12564300
compressor,attack,0.9000,74173700
compressor,attack,1.0000,33332e00
compressor,attack,1.1000,63912a00
compressor,attack,1.2000,0d402400
compressor,attack,1.3000,62722000
compressor,attack,1.4000,9cdc1b00
compressor,attack,1.5000,e55e1900
compressor,attack,1.6000,f53b1700
compressor,attack,1.7000,eb831600
compressor,attack,1.8000,be1d1500
compressor,attack,1.9000,0ef11300
compressor,attack,2.0000,25cb1200
compressor,attack,2.1000,052e1100
compressor,attack,2.2000,51731000
compressor,attack,2.3000,87ae0f00
compressor,attack,2.4000,4ccd0e00
compressor,attack,2.5000,3c410e00
compressor,attack,2.6000,6aa50d00
compressor,attack,2.7000,cd8d0c00
compressor,attack,2.8000,60b30b00
compressor,attack,2.9000,61310b00
compressor,attack,3.0000,cab30a00
compressor,attack,3.1000,523a0a00
compressor,attack,3.2000,88d70900
compressor,attack,3.3000,65960900
compressor,attack,3.4000,29520900
compressor,attack,3.5000,1ef60800
compressor,attack,3.6000,ab9c0800
compressor,attack,3.7000,3d620800
compressor,attack,3.8000,d7300800
compressor,attack,3.9000,8efb0700
compressor,attack,4.0000,90b80700
compressor,attack,4.1000,3a770700
compressor,attack,4.2000,1e450700
compressor,attack,4.3000,c21f0700
compressor,attack,4.4000,42fb0600
compressor,attack,4.5000,96b90600
compressor,attack,4.6000,2a680600
compressor,attack,4.7000,7f180600
compressor,attack,4.8000,81ca0500
compressor,attack,4.9000,1e7e0500
compressor,attack,5.0000,47330500
compressor,attack,5.1000,0fef0400
compressor,attack,5.2000,d1c00400
compressor,attack,5.3000,74930400
compressor,attack,5.4000,f1660400
compressor,attack,5.5000,dc500400
compressor,attack,5.6000,53470400
compressor,attack,5.7000,f53d0400
compressor,attack,5.8000,c1340400
compressor,attack,5.9000,79200400
compressor,attack,6.0000,3d0a0400
compressor,attack,6.1000,5ef40300
compressor,attack,6.2000,dbde0300
compressor,attack,6.3000,0dd00300
compressor,attack,6.4000,8cc30300
compressor,attack,6.5000,3eb70300
compressor,attack,6.6000,1fab0300
compressor,attack,6.7000,fb980300
compressor,attack,6.8000,8a7d0300
compressor,attack,6.9000,80620300
compressor,attack,7.0000,d9470300
compressor,attack,7.1000,932d0300
compressor,attack,7.2000,58160300
compressor,attack,7.3000,72000300
compressor,attack,7.4000,d8ea0200
compressor,attack,7.5000,88d50200
compressor,attack,7.6000,81c00200
compressor,attack,7.7000,d6b50200
compressor,attack,7.8000,02af0200
compressor,attack,7.9000,44a80200
compressor,attack,8.0000,9ca10200
compressor,attack,8.1000,099b0200
compressor,attack,8.2000,cb900200
compressor,attack,8.3000,c2800200
compressor,attack,8.4000,e9700200
compressor,attack,8.5000,41610200
compressor,attack,8.6000,c8510200
compressor,attack,8.7000,7c420200
compressor,attack,8.8000,522d0200
compressor,attack,8.9000,67150200
compressor,attack,9.0000,c0fd0100
compressor,attack,9.1000,5ce60100
compressor,attack,9.2000,39cf0100
compressor,attack,9.3000,56b80100
compressor,attack,9.4000,b3a10100
compressor,attack,9.5000,4c8b0100
compressor,attack,9.6000,21750100
compressor,attack,9.7000,325f0100
compressor,attack,9.8000,7c490100
compressor,attack,9.9000,fe330100
compressor,attack,10.0000,b81e0100
compressor,release,5.0000,54391c00
compressor,release,6.0000,48fe1600
compressor,release,7.0000,386a1300
compressor,release,8.0000,bb881000
compressor,release,9.0000,d4e00d00
compressor,release,10.0000,1e540c00
compressor,release,11.0000,88760a00
compressor,release,12.0000,9b7f0900
compressor,release,13.0000,304f0800
compressor,release,14.0000,0b860700
compressor,release,15.0000,3dae0600
compressor,release,16.0000,71400600
compressor,release,17.0000,cadc0500
compressor,release,18.0000,61690500
compressor,release,19.0000,5aef0400
compressor,release,20.0000,70a80400
compressor,release,21.0000,315e0400
compressor,release,22.0000,3b2e0400
compressor,release,23.0000,9cf20300
compressor,release,24.0000,89cd0300
compressor,release,25.0000,f09a0300
compressor,release,26.0000,3c7b0300
compressor,release,27.0000,ca3a0300
compressor,release,28.0000,8a0d0300
compressor,release,29.0000,9bde0200
compressor,release,30.0000,55aa0200
compressor,release,31.0000,ce7b0200
compressor,release,32.0000,47620200
compressor,release,33.0000,cc4f0200
compressor,release,34.0000,923e0200
compressor,release,35.0000,5f290200
compressor,release,36.0000,171b0200
compressor,release,37.0000,fd080200
compressor,release,38.0000,faeb0100
compressor,release,39.0000,d1d80100
compressor,release,40.0000,89c90100
compressor,release,41.0000,64bb0100
compressor,release,42.0000,4daf0100
compressor,release,43.0000,c2a60100
compressor,release,44.0000,7a9c0100
compressor,release,45.0000,ca900100
compressor,release,46.0000,10880100
compressor,release,47.0000,ed800100
compressor,release,48.0000,e7770100
compressor,release,49.0000,2b6e0100
compressor,release,50.0000,d4660100
compressor,release,51.0000,d9600100
compressor,release,52.0000,b9590100
compressor,release,53.0000,84510100
compressor,release,54.0000,424a0100
compressor,release,55.0000,3b450100
compressor,release,56.0000,4b400100
compressor,release,57.0000,7b390100
compressor,release,58.0000,ad320100
compressor,release,59.0000,3e2d0100
compressor,release,60.0000,0d290100
compressor,release,61.0000,ee240100
compressor,release,62.0000,281f0100
compressor,release,63.0000,73190100
compressor,release,64.0000,ee130100
compressor,release,65.0000,af0e0100
compressor,release,66.0000,84090100
compressor,release,67.0000,88050100
compressor,release,68.0000,60020100
compressor,release,69.0000,45ff0000
compressor,release,70.0000,3ffb0000
compressor,release,71.0000,e4f60000
compressor,release,72.0000,98f20000
compressor,release,73.0000,74ef0000
compressor,release,74.0000,ceec0000
compressor,release,75.0000,30ea0000
compressor,release,76.0000,f7e60000
compressor,release,77.0000,52e30000
compressor,release,78.0000,b8df0000
compressor,release,79.0000,90dc0000
compressor,release,80.0000,52da0000
compressor,release,81.0000,1bd80000
compressor,release,82.0000,ead50000
compressor,release,83.0000,f1d20000
compressor,release,84.0000,ebcf0000
compressor,release,85.0000,eecc0000
compressor,release,86.0000,58ca0000
compressor,release,87.0000,79c80000
compressor,release,88.0000,9fc60000
compressor,release,89.0000,cbc40000
compressor,release,90.0000,7ec20000
compressor,release,91.0000,f0bf0000
compressor,release,92.0000,6abd0000
compressor,release,93.0000,eaba0000
compressor,release,94.0000,67b70000
compressor,release,95.0000,9cb30000
compressor,release,96.0000,dcaf0000
compressor,release,97.0000,25ac0000
compressor,release,98.0000,aba90000
compressor,release,99.0000,a8a70000
compressor,release,100.0000,aba50000
compressor,release,101.0000,b2a30000
compressor,release,102.0000,1da20000
compressor,release,103.0000,e3a00000
compressor,release,104.0000,ad9f0000
compressor,release,105.0000,7a9e0000
compressor,release,106.0000,399d0000
compressor,release,107.0000,849b0000
compressor,release,108.0000,d3990000
compressor,release,109.0000,27980000
compressor,release,110.0000,7e960000
compressor,release,111.0000,2d950000
compressor,release,112.0000,27940000
compressor,release,113.0000,24930000
compressor,release,114.0000,23920000
compressor,release,115.0000,25910000
compressor,release,116.0000,d38f0000
compressor,release,117.0000,698e0000
compressor,release,118.0000,018d0000
compressor,release,119.0000,9c8b0000
compressor,release,120.0000,3b8a0000
compressor,release,121.0000,4c880000
compressor,release,122.0000,35860000
compressor,release,123.0000,21840000
compressor,release,124.0000,12820000
compressor,release,125.0000,07800000
compressor,release,126.0000,1b7e0000
compressor,release,127.0000,477c0000
compressor,release,128.0000,777a0000
compressor,release,129.0000,aa780000
compressor,release,130.0000,e1760000
compressor,release,131.0000,33750000
compressor,release,132.0000,39740000
compressor,release,133.0000,40730000
compressor,release,134.0000,49720000
compressor,release,135.0000,54710000
compressor,release,136.0000,61700000
compressor,release,137.0000,986f0000
compressor,release,138.0000,016f0000
compressor,release,139.0000,6c6e0000
compressor,release,140.0000,d76d0000
compressor,release,141.0000,446d0000
compressor,release,142.0000,b16c0000
compressor,release,143.0000,fd6b0000
compressor,release,144.0000,2c6b0000
compressor,release,145.0000,5c6a0000
compressor,release,146.0000,8e690000
compressor,release,147.0000,c1680000
compressor,release,148.0000,f6670000
compressor,release,149.0000,46670000
compressor,release,150.0000,c7660000
compressor,release,151.0000,49660000
compressor,release,152.0000,cb650000
compressor,release,153.0000,4f650000
compressor,release,154.0000,d3640000
compressor,release,155.0000,58640000
compressor,release,156.0000,ab630000
compressor,release,157.0000,fc620000
compressor,release,158.0000,4d620000
compressor,release,159.0000,a0610000
compressor,release,160.0000,f4600000
compressor,release,161.0000,48600000
compressor,release,162.0000,ab5f0000
compressor,release,163.0000,415f0000
compressor,release,164.0000,d75e0000
compressor,release,165.0000,6d5e0000
compressor,release,166.0000,045e0000
compressor,release,167.0000,9c5d0000
compressor,release,168.0000,355d0000
compressor,release,169.0000,c55c0000
compressor,release,170.0000,325c0000
compressor,release,171.0000,a05b0000
compressor,release,172.0000,0e5b0000
compressor,release,173.0000,7e5a0000
compressor,release,174.0000,ee590000
compressor,release,175.0000,5f590000
compressor,release,176.0000,d1580000
compressor,release,177.0000,73580000
compressor,release,178.0000,1b580000
compressor,release,179.0000,c3570000
compressor,release,180.0000,6c570000
compressor,release,181.0000,15570000
compressor,release,182.0000,bf560000
compressor,release,183.0000,6a560000
compressor,release,184.0000,0b560000
compressor,release,185.0000,91550000
compressor,release,186.0000,18550000
compressor,release,187.0000,a0540000
compressor,release,188.0000,29540000
compressor,release,189.0000,b2530000
compressor,release,190.0000,3c530000
compressor,release,191.0000,c6520000
compressor,release,192.0000,52520000
compressor,release,193.0000,e2510000
compressor,release,194.0000,73510000
compressor,release,195.0000,04510000
compressor,release,196.0000,96500000
compressor,release,197.0000,28500000
compressor,release,198.0000,bb4f0000
compressor,release,199.0000,4f4f0000
compressor,release,200.0000,e34e0000
compressor,gain,0.0000,f52a3202
compressor,gain,0.1000,a6d43704
compressor,gain,0.2000,577e3d06
compressor,gain,0.3000,aafb9107
compressor,gain,0.4000,9bba9708
compressor,gain,0.5000,dd567a09
compressor,gain,0.6000,a0bb240a
compressor,gain,0.7000,d43bdc0a
compressor,gain,0.8000,5b05310c
compressor,gain,0.9000,e1ce850d
compressor,gain,1.0000,dbbc710e
compressor,gain,1.1000,c5353e0f
compressor,gain,1.2000,1744ff0f
compressor,gain,1.3000,b900b310
compressor,gain,1.4000,aad17411
compressor,gain,1.5000,48128412
compressor,gain,1.6000,e6529313
compressor,gain,1.7000,d56b1f14
compressor,gain,1.8000,19ac9314
compressor,gain,1.9000,c70ef314
compressor,gain,2.0000,f48e4015
compressor,gain,2.1000,e2e2a815
compressor,gain,2.2000,53a36a16
compressor,gain,2.3000,c3632c17
compressor,gain,2.4000,329aa617
compressor,gain,2.5000,76da1a18
compressor,gain,2.6000,ba1a8f18
compressor,gain,2.7000,fd5a0319
compressor,gain,2.8000,ba6e9219
compressor,gain,2.9000,48de5d1a
compressor,gain,3.0000,d74d291b
compressor,gain,3.1000,207d801b
compressor,gain,3.2000,6aacd71b
compressor,gain,3.3000,27efe31c
compressor,gain,3.4000,50ac401e
compressor,gain,3.5000,72d0381f
compressor,gain,3.6000,bcff8f1f
compressor,gain,3.7000,c298f41f
compressor,gain,3.8000,a126fa20
compressor,gain,3.9000,80b4ff21
compressor,gain,4.0000,00217f22
compressor,gain,4.1000,4a50d622
compressor,gain,4.2000,2f9e4123
compressor,gain,4.3000,1e65c423
compressor,gain,4.4000,04796324
compressor,gain,4.5000,32349e25
compressor,gain,4.6000,60efd826
compressor,gain,4.7000,741f8027
compressor,gain,4.8000,0e7c0c28
compressor,gain,4.9000,6d9efd28
compressor,gain,5.0000,2a21452a
compressor,gain,5.1000,f26f972b
compressor,gain,5.2000,38bc0d2d
compressor,gain,5.3000,7e08842e
compressor,gain,5.4000,36c4782f
compressor,gain,5.5000,e1b36230
compressor,gain,5.6000,e86cee31
compressor,gain,5.7000,c743df33
compressor,gain,5.8000,e5dc0036
compressor,gain,5.9000,132b9038
compressor,gain,6.0000,42791f3b
compressor,gain,6.1000,0fbdb23c
compressor,gain,6.2000,dc00463e
compressor,gain,6.3000,db2a883f
compressor,gain,6.4000,6349a640
compressor,gain,6.5000,1a6a1442
compressor,gain,6.6000,4f8e0244
compressor,gain,6.7000,2bf2eb45
compressor,gain,6.8000,da519c47
compressor,gain,6.9000,89b14c49
compressor,gain,7.0000,b3942c4b
compressor,gain,7.1000,e8b81a4d
compressor,gain,7.2000,95d05d4e
compressor,gain,7.3000,a259d94e
compressor,gain,7.4000,8ae07f4f
compressor,gain,7.5000,a4db1251
compressor,gain,7.6000,bdd6a552
compressor,gain,7.7000,33fdff53
compressor,gain,7.8000,74ce4f55
compressor,gain,7.9000,d7725457
compressor,gain,8.0000,5715f459
compressor,gain,8.1000,6838655c
compressor,gain,8.2000,5c5d3b5e
compressor,gain,8.3000,4f821160
compressor,gain,8.4000,9aac5163
compressor,gain,8.5000,0202b066
compressor,gain,8.6000,9e355269
compressor,gain,8.7000,1bd47e6b
compressor,gain,8.8000,91500d6e
compressor,gain,8.9000,7a007871
compressor,gain,9.0000,63b0e274
noise_gate,threshold,-60.0000,9bc42000
noise_gate,threshold,-59.5000,aab52200
noise_gate,threshold,-59.0000,2cc42400
noise_gate,threshold,-58.5000,e1f12600
noise_gate,threshold,-58.0000,a1402900
noise_gate,threshold,-57.5000,63b22b00
noise_gate,threshold,-57.0000,39492e00
noise_gate,threshold,-56.5000,55073100
noise_gate,threshold,-56.0000,0cef3300
noise_gate,threshold,-55.5000,d4023700
noise_gate,threshold,-55.0000,49453a00
noise_gate,threshold,-54.5000,31b93d00
noise_gate,threshold,-54.0000,79614100
noise_gate,threshold,-53.5000,3b414500
noise_gate,threshold,-53.0000,c15b4900
noise_gate,threshold,-52.5000,86b44d00
noise_gate,threshold,-52.0000,3b4f5200
noise_gate,threshold,-51.5000,c72f5700
noise_gate,threshold,-51.0000,4f5a5c00
noise_gate,threshold,-50.5000,34d36100
noise_gate,threshold,-50.0000,1b9f6700
noise_gate,threshold,-49.5000,f0c26d00
noise_gate,threshold,-49.0000,e7437400
noise_gate,threshold,-48.5000,86277b00
noise_gate,threshold,-48.0000,a6738200
noise_gate,threshold,-47.5000,772e8a00
noise_gate,threshold,-47.0000,895e9200
noise_gate,threshold,-46.5000,cd0a9b00
noise_gate,threshold,-46.0000,a13aa400
noise_gate,threshold,-45.5000,d0f5ad00
noise_gate,threshold,-45.0000,9c44b800
noise_gate,threshold,-44.5000,c32fc300
noise_gate,threshold,-44.0000,89c0ce00
noise_gate,threshold,-43.5000,c000db00
noise_gate,threshold,-43.0000,cbfae700
noise_gate,threshold,-42.5000,afb9f500
noise_gate,threshold,-42.0000,14490401
noise_gate,threshold,-41.5000,57b51301
noise_gate,threshold,-41.0000,8c0b2401
noise_gate,threshold,-40.5000,90593501
noise_gate,threshold,-40.0000,14ae4701
noise_gate,threshold,-39.5000,a4185b01
noise_gate,threshold,-39.0000,baa96f01
noise_gate,threshold,-38.5000,ca728501
noise_gate,threshold,-38.0000,51869c01
noise_gate,threshold,-37.5000,e2f7b401
noise_gate,threshold,-37.0000,3cdcce01
noise_gate,threshold,-36.5000,5849ea01
noise_gate,threshold,-36.0000,7a560702
noise_gate,threshold,-35.5000,491c2602
noise_gate,threshold,-35.0000,e3b44602
noise_gate,threshold,-34.5000,f03b6902
noise_gate,threshold,-34.0000,bbce8d02
noise_gate,threshold,-33.5000,4f8cb402
noise_gate,threshold,-33.0000,8a95dd02
noise_gate,threshold,-32.5000,3e0d0903
noise_gate,threshold,-32.0000,4e183703
noise_gate,threshold,-31.5000,cbdd6703
noise_gate,threshold,-31.0000,18879b03
noise_gate,threshold,-30.5000,0b40d203
noise_gate,threshold,-30.0000,13370c04
noise_gate,threshold,-29.5000,609d4904
noise_gate,threshold,-29.0000,0ba78a04
noise_gate,threshold,-28.5000,448bcf04
noise_gate,threshold,-28.0000,7f841805
noise_gate,threshold,-27.5000,aad06505
noise_gate,threshold,-27.0000,5ab1b705
noise_gate,threshold,-26.5000,0b6c0e06
noise_gate,threshold,-26.0000,524a6a06
noise_gate,threshold,-25.5000,269acb06
noise_gate,threshold,-25.0000,18ae3207
noise_gate,threshold,-24.5000,9fdd9f07
noise_gate,threshold,-24.0000,61851308
noise_gate,threshold,-23.5000,83078e08
noise_gate,threshold,-23.0000,f7cb0f09
noise_gate,threshold,-22.5000,db409909
noise_gate,threshold,-22.0000,d1da2a0a
noise_gate,threshold,-21.5000,6615c50a
noise_gate,threshold,-21.0000,7973680b
noise_gate,threshold,-20.5000,a97f150c
noise_gate,threshold,-20.0000,cccccc0c
noise_gate,threshold,-19.5000,6df68e0d
noise_gate,threshold,-19.0000,4ca15c0e
noise_gate,threshold,-18.5000,ed7b360f
noise_gate,threshold,-18.0000,2d3f1d10
noise_gate,threshold,-17.5000,daae1111
noise_gate,threshold,-17.0000,5f9a1412
noise_gate,threshold,-16.5000,70dd2613
noise_gate,threshold,-16.0000,c5604914
noise_gate,threshold,-15.5000,e11a7d15
noise_gate,threshold,-15.0000,e310c316
noise_gate,threshold,-14.5000,61571c18
noise_gate,threshold,-14.0000,57138a19
noise_gate,threshold,-13.5000,1b7b0d1b
noise_gate,threshold,-13.0000,67d7a71c
noise_gate,threshold,-12.5000,71845a1e
noise_gate,threshold,-12.0000,0ff32620
noise_gate,threshold,-11.5000,f3a90e22
noise_gate,threshold,-11.0000,f5461324
noise_gate,threshold,-10.5000,73803626
noise_gate,threshold,-10.0000,c4267a28
noise_gate,threshold,-9.5000,c325e02a
noise_gate,threshold,-9.0000,6f866a2d
noise_gate,threshold,-8.5000,a8701b30
noise_gate,threshold,-8.0000,fe2cf532
noise_gate,threshold,-7.5000,a926fa35
noise_gate,threshold,-7.0000,8ded2c39
noise_gate,threshold,-6.5000,6f38903c
noise_gate,threshold,-6.0000,3ce72640
noise_gate,threshold,-5.5000,7e05f443
noise_gate,threshold,-5.0000,f0ccfa47
noise_gate,threshold,-4.5000,38a83e4c
noise_gate,threshold,-4.0000,d335c350
noise_gate,threshold,-3.5000,224b8c55
noise_gate,threshold,-3.0000,abf79d5a
noise_gate,threshold,-2.5000,9088fc5f
noise_gate,threshold,-2.0000,2f8cac65
noise_gate,threshold,-1.5000,04d6b26b
noise_gate,threshold,-1.0000,bf821472
noise_gate,threshold,-0.5000,9efcd678
noise_gate,threshold,0.0000,ffffff7f
noise_gate,attack,0.1000,0098324b
noise_gate,attack,5.0995,6cf57a01
noise_gate,attack,10.0990,a117c000
noise_gate,attack,15.0985,79fa8000
noise_gate,attack,20.0980,b3436100
noise_gate,attack,25.0975,7f2f4e00
noise_gate,attack,30.0970,f3714100
noise_gate,attack,35.0965,9f553800
noise_gate,attack,40.0960,eb7e3100
noise_gate,attack,45.0955,662c2c00
noise_gate,attack,50.0950,d7e92700
noise_gate,attack,55.0945,346d2400
noise_gate,attack,60.0940,17852100
noise_gate,attack,65.0935,480f1f00
noise_gate,attack,70.0930,52f31c00
noise_gate,attack,75.0925,411f1b00
noise_gate,attack,80.0920,a0851900
noise_gate,attack,85.0915,211c1800
noise_gate,attack,90.0910,c2da1600
noise_gate,attack,95.0905,2dbb1500
noise_gate,attack,100.0900,54b81400
noise_gate,attack,105.0895,1bce1300
noise_gate,attack,110.0890,28f91200
noise_gate,attack,115.0885,b6361200
noise_gate,attack,120.0880,74841100
noise_gate,attack,125.0875,72e01000
noise_gate,attack,130.0870,0b491000
noise_gate,attack,135.0865,dabc0f00
noise_gate,attack,140.0860,aa3a0f00
noise_gate,attack,145.0855,72c10e00
noise_gate,attack,150.0850,4f500e00
noise_gate,attack,155.0845,76e60d00
noise_gate,attack,160.0840,3a830d00
noise_gate,attack,165.0835,01260d00
noise_gate,attack,170.0830,43ce0c00
noise_gate,attack,175.0825,877b0c00
noise_gate,attack,180.0820,642d0c00
noise_gate,attack,185.0815,79e30b00
noise_gate,attack,190.0810,729d0b00
noise_gate,attack,195.0805,015b0b00
noise_gate,attack,200.0800,e31b0b00
noise_gate,attack,205.0795,d8df0a00
noise_gate,attack,210.0790,a9a60a00
noise_gate,attack,215.0785,23700a00
noise_gate,attack,220.0780,173c0a00
noise_gate,attack,225.0775,5a0a0a00
noise_gate,attack,230.0770,c7da0900
noise_gate,attack,235.0765,3aad0900
noise_gate,attack,240.0760,93810900
noise_gate,attack,245.0755,b4570900
noise_gate,attack,250.0750,812f0900
noise_gate,attack,255.0745,e2080900
noise_gate,attack,260.0740,bee30800
noise_gate,attack,265.0735,02c00800
noise_gate,attack,270.0730,989d0800
noise_gate,attack,275.0725,6e7c0800
noise_gate,attack,280.0720,745c0800
noise_gate,attack,285.0715,983d0800
noise_gate,attack,290.0710,cd1f0800
noise_gate,attack,295.0705,05030800
noise_gate,attack,300.0700,32e70700
noise_gate,attack,305.0695,48cc0700
noise_gate,attack,310.0690,3db20700
noise_gate,attack,315.0685,05990700
noise_gate,attack,320.0680,96800700
noise_gate,attack,325.0675,e9680700
noise_gate,attack,330.0670,f3510700
noise_gate,attack,335.0665,ac3b0700
noise_gate,attack,340.0660,0d260700
noise_gate,attack,345.0655,0e110700
noise_gate,attack,350.0650,a9fc0600
noise_gate,attack,355.0645,d7e80600
noise_gate,attack,360.0640,92d50600
noise_gate,attack,365.0635,d3c20600
noise_gate,attack,370.0630,97b00600
noise_gate,attack,375.0625,d79e0600
noise_gate,attack,380.0620,8f8d0600
noise_gate,attack,385.0615,b97c0600
noise_gate,attack,390.0610,526c0600
noise_gate,attack,395.0605,555c0600
noise_gate,attack,400.0600,bf4c0600
noise_gate,attack,405.0595,8b3d0600
noise_gate,attack,410.0590,b62e0600
noise_gate,attack,415.0585,3c200600
noise_gate,attack,420.0580,1a120600
noise_gate,attack,425.0575,4e040600
noise_gate,attack,430.0570,d4f60500
noise_gate,attack,435.0565,a9e90500
noise_gate,attack,440.0560,cbdc0500
noise_gate,attack,445.0555,36d00500
noise_gate,attack,450.0550,eac30500
noise_gate,attack,455.0545,e2b70500
noise_gate,attack,460.0540,1eac0500
noise_gate,attack,465.0535,9aa00500
